"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"88","bmg2021vapx","2021-10-27T04:17:35.216901Z","-8.907921791","110.9015961","4.616485603","M","10","89","157.4374695","Java, Indonesia","BMKG"
"89","bmg2021vapu","2021-10-27T04:13:47.815229Z","-9.037425995","120.461586","2.915364119","M","10","19","117.1823578","Sumba Region, Indonesia","BMKG"
"90","bmg2021vala","2021-10-27T01:49:11.912318Z","-8.057110786","130.2844086","4.086494496","M","10","16","84.268013","Tanimbar Islands Reg., Indonesia","BMKG"
"91","bmg2021vakn","2021-10-27T01:34:17.7778Z","-9.324892044","107.9420624","4.3047837","M","10","38","232.4277573","South of Java, Indonesia","BMKG"
"92","bmg2021vagl","2021-10-26T23:30:24.537598Z","-2.566428185","139.5444336","3.533426263","M","29","10","142.5999222","Near North Coast of Irian Jaya","BMKG"
"93","bmg2021vagm","2021-10-26T23:29:57.272259Z","2.002727985","126.6527481","3.36121624","M","10","23","83.44789124","Northern Molucca Sea","BMKG"
"94","bmg2021vafl","2021-10-26T22:59:40.369347Z","-0.9194284081","122.1655731","3.905619673","M","10","62","61.25527954","Minahassa Peninsula, Sulawesi","BMKG"
"95","bmg2021uzvy","2021-10-26T18:11:42.604983Z","-5.822345257","131.088501","4.263326294","M","16","45","75.86151886","Banda Sea","BMKG"
"96","bmg2021uzuk","2021-10-26T17:25:38.862647Z","-3.494744301","101.5763245","4.365162919","MLv","24","84","166.8439636","Southern Sumatra, Indonesia","BMKG"
"97","bmg2021uzos","2021-10-26T14:32:27.677423Z","-1.647368193","126.5269699","2.814806925","M","10","10","150.4691429","Southern Molucca Sea","BMKG"
"98","bmg2021uzgl","2021-10-26T10:22:04.830561Z","-7.813017845","119.8345184","4.468966888","M","250","26","77.51107788","Flores Sea","BMKG"
"99","bmg2021uzfu","2021-10-26T10:02:28.708572Z","2.246948719","96.12372589","4.308182653","M","18","32","206.9208679","Northern Sumatra, Indonesia","BMKG"
"100","bmg2021uzfg","2021-10-26T09:46:06.438838Z","1.545755029","127.1179047","5.198860128","Mw(mB)","120","204","37.96197319","Halmahera, Indonesia","BMKG"
"101","bmg2021uzfc","2021-10-26T09:41:20.607485Z","-4.79282093","139.5606995","4.293225723","M","10","9","109.4002228","Irian Jaya, Indonesia","BMKG"
"102","bmg2021uzcv","2021-10-26T08:32:32.326213Z","-9.404666901","125.218895","2.06854782","M","10","12","232.8751831","Timor Region","BMKG"
"103","bmg2021uypj","2021-10-26T01:44:30.5303Z","-2.826810122","129.6038818","4.163287495","M","10","33","55.23794556","Seram, Indonesia","BMKG"
"104","bmg2021uylo","2021-10-25T23:48:49.568142Z","-2.836214304","127.7452621","3.015452993","M","21","13","69.59963989","Ceram Sea","BMKG"
"105","bmg2021uylk","2021-10-25T23:43:58.497921Z","-0.337115109","100.2111206","2.478858514","M","10","18","72.79563904","Southern Sumatra, Indonesia","BMKG"
"106","bmg2021uykp","2021-10-25T23:19:40.564326Z","-8.039352417","110.4315567","3.216319326","M","10","33","175.3623123","Java, Indonesia","BMKG"
"107","bmg2021uyio","2021-10-25T22:18:45.726445Z","-0.3480519354","123.0990067","3.548217496","M","11","14","65.63817596","Minahassa Peninsula, Sulawesi","BMKG"
"108","bmg2021uyfl","2021-10-25T20:43:51.767631Z","-2.804211855","127.3271866","3.246392419","M","10","12","88.16801453","Ceram Sea","BMKG"
"109","bmg2021uxtk","2021-10-25T14:39:10.364158Z","2.778542042","95.34828186","4.575691621","M","10","49","221.9188232","Off West Coast of Northern Sumatra","BMKG"
"110","bmg2021uxtc","2021-10-25T14:29:16.830571Z","-7.2946105","110.4229279","2.666334284","M","10","13","88.06809998","Java, Indonesia","BMKG"
"111","bmg2021uxtb","2021-10-25T14:28:34.969108Z","-3.243410826","130.9892883","3.147430479","M","14","20","67.28872108","Seram, Indonesia","BMKG"
"112","bmg2021uxsz","2021-10-25T14:26:17.260922Z","-1.819635272","120.4063568","2.327003399","M","10","16","78.66815186","Sulawesi, Indonesia","BMKG"
"113","bmg2021uxng","2021-10-25T11:32:29.655362Z","1.669163823","127.0155411","2.893803989","M","84","13","140.648407","Halmahera, Indonesia","BMKG"
"114","bmg2021uxlq","2021-10-25T10:43:09.679341Z","0.3620686531","98.54289246","3.501557227","M","15","52","85.79653931","Northern Sumatra, Indonesia","BMKG"
